Id,Receiving Time,Generated Time,Service Facility,IPv4 Address,DeviceVendor,DeviceProduct,DeviceVersion,SignatureID,Name,Severity,EventId
153,2021-08-04 15:53:3,2021-08-04 15:53:31,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,927,Smart Protection Server Connected for Smart Scan,3,153
154,2021-08-04 15:53:3,2021-08-04 15:53:31,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,710,Events Retrieved,3,154
155,2021-08-04 15:53:3,2021-08-04 15:53:31,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,927,Smart Protection Server Connected for Smart Scan,3,155
156,2021-08-04 15:53:3,2021-08-04 15:53:31,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,710,Events Retrieved,3,156
157,2021-08-04 15:53:3,2021-08-04 15:53:31,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,927,Smart Protection Server Connected for Smart Scan,3,157
158,2021-08-04 15:53:3,2021-08-04 15:53:31,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,710,Events Retrieved,3,158
159,2021-08-04 15:53:3,2021-08-04 15:53:31,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,927,Smart Protection Server Connected for Smart Scan,3,159
160,2021-08-04 15:53:3,2021-08-04 15:53:31,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,710,Events Retrieved,3,160
161,2021-08-04 15:53:3,2021-08-04 15:53:31,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,710,Events Retrieved,3,161
162,2021-08-04 15:53:3,2021-08-04 15:53:31,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,720,Policy Sent,3,162
163,2021-08-04 15:53:3,2021-08-04 15:53:31,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,927,Smart Protection Server Connected for Smart Scan,3,163
164,2021-08-04 15:53:3,2021-08-04 15:53:31,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,710,Events Retrieved,3,164
